scale,brand,id,img,v_brand,type,name,build,box,seller,cost,give
1/64,Tomytec,LV-N ,,Nissan,GT-R（R32）,LV-N 日産 スカイライン GT-R（R32）グループA プレーンカラー仕様（白）會場限定,1,有盒,TDE會場,1100,
1/64,Tomytec,LV-N343a ,,三菱ふそう,卡車,三菱ふそう キャンター 清掃車（白／青）,1,有盒,不二淘寶,1100,
1/64,Tomytec,LV-N300b ,,三菱ふそう,巴士,三菱ふそう エアロバス（帝産観光バス）,1,有盒,不二淘寶,2800,
1/64,Tomytec,LV-N300c ,,三菱ふそう,巴士,三菱ふそう エアロバス（日本交通）,1,有盒,淘寶,2800,
1/64,Tomytec,LV-N300d ,,三菱ふそう,巴士,三菱ふそう エアロバス（ジェイアールバス関東）,1,有盒,淘寶預購,2700,
1/64,Tomytec,LV-N211a ,,ISUZU,卡車,いすゞ810EX ウィングルーフトレーラ（日本フルハーフFPR239）,1,有盒,代購幫,3170,
1/64,Tomytec,LV-N347a ,,ISUZU,卡車,いすゞ 810EX トラクタヘッド（紺）,2,有盒,淘寶預購,1200,
1/64,Tomytec,LV-66a ,,UD,卡車,日産ディーゼル680型ダンプトラック（緑）,1,有盒,代購幫,886,
1/64,Tomytec,LV-N24c ,,HINO,KTH型,日野TC343 はしご消防車（尾鷲消防署）,1,有盒,淘寶預購,4423,
1/64,Tomytec,LV-N44d ,,HINO,KTH型,日野KB324型トラック（白/赤）,1,有盒,fb直購,1438,
1/64,Tomytec,LV-N49c ,,HINO,KTH型,日野KB314型 タンクローリー（白）,2,有盒,淘寶預購,1450,
1/64,Tomytec,LV-N173a ,,HINO,KTH型,日野HH341 重機運搬トレーラ（東急TD302）,1,有盒,露天,2850,
1/64,Tomytec,LV-N292c ,,HINO,PROFIA (3代目),日野プロフィア 40ft海上コンテナトレーラ（東邦車輛TC36H1C34）（黒）,1,有盒,淘寶預購,3902,
1/64,Tomytec,LV-N292d,,HINO,PROFIA (3代目),日野プロフィア 40ft海上コンテナトレーラ（東邦車輛TC36H1C34）オーシャンネットワークエクスプレス グレーコンテナ,2,有盒,淘寶預購,3800,
1/64,Tomytec,LV-N298a ,,HINO,PROFIA (3代目),日野プロフィア トラクタヘッド（緑）,1,有盒,淘寶,1407,
1/64,Tomytec,AS001 ,,,M1 (MBT),M1A2 ,2,有盒,淘寶,2000,
1/64,Tomytec,AS002 ,,,73型,新型73型輕型卡車,2,有盒,淘寶,1100,
1/64,Tiny,121,,Mercedes-Benz,Antos,Mercedes Antos Container Lorry OCCL,1,有盒,淘寶,2065,
1/64,Turbo Truck,,,Scania,, Scania 730S EVER GREEN 20ft ,1,有盒,淘寶,1800,
1/64,Turbo Truck,,,Scania,, Scania 730S ONE 20ft,1,有盒,淘寶,1800,
1/64,Turbo Truck,,,Scania,, Scania 730S MAERSK 20ft,1,有盒,淘寶,1800,
1/64,Unique Model,,,Scania,, Scania 730S OCCL 20ft ,1,有盒,fb預購,1780,
1/64,Unique Model,,,Scania,, Scania 730S ONE 20ft,1,有盒,fb預購,1780,
1/64,,,,HINO,PROFIA (3代目),西濃運輸 特注ミニカー 日野プロフィア トレーラー,1,有盒,代購幫,4400,
,,,,,,,,,,264317,
